ID,system,Donor,Aux,Bridge,Anchor,VIP_eV,VEA_eV,I_AIP_electronic_eV,A_AEA_electronic_eV,AIP_Gibbs_eV,AEA_Gibbs_eV,chi_eV,mu_eV,eta_eV,softness_eV_inv,omega_eV,I_minus_A_eV,lambda_h_eV,lambda_e_eV,lambda_total_eV,CT_percent,Anchor_electron_percent,Donor_to_Anchor_net_e,off_diagonal_fraction,optical_value,PCC_nm,PCB_nm,dominated_by_count,pareto_front,epsilon_dominated_by_count,epsilon_pareto_front,z_optical,z_CT,z_reorg,core_compromise_score,distance_to_ideal,z_anchor,z_TDM,mechanistic_support_score,sigma_ev,source,optical_metric
D12,D12_PTZ_NONE_TT_RAA,PTZ,NONE,TT,RAA,5.00510783,3.18605768,4.8186799,3.30676303,4.81151732,3.43462117,4.062721465,-4.062721465,0.7559584350000002,0.661412025913832,10.917072247610903,1.5119168700000003,0.34261367,0.23805473,0.5806684,67.638,50.4,0.13778,0.3351928448249243,0.2442065680987529,484.43168688597694,42.603953581616175,4,False,4,False,0.3950101200474488,0.026342072409487986,0.24194018628539893,0.22109745958077856,1.3742915251044332,0.9601817210048103,0.365076165389311,0.6626289431970607,0.2,AM15G,PCF_sigma_0.20
D13,D13_PTZ_BTD_T_CAA,PTZ,BTD,T,CAA,5.01843596,3.38197938,4.81683714,3.53898963,4.83217076,3.64099233,4.177913385,-4.177913385,0.6389237549999998,0.7825659886444513,13.659658226795909,1.2778475099999995,0.36423747,0.28939064,0.65362811,75.109,15.4,0.06707,0.6278829540982833,0.2527433109871862,498.429663556312,50.47702778668962,2,False,2,False,0.4462280399216399,0.9590511860174777,0.0,0.4684264086463725,1.143826992659119,0.024853019775521103,1.0,0.5124265098877605,0.2,AM15G,PCF_sigma_0.20
D14,D14_PTZ_BTD_T_RAA,PTZ,BTD,T,RAA,5.01143583,3.33864008,4.80743969,3.47363958,4.82555839,3.5926649,4.140539635,-4.140539635,0.6669000549999999,0.74973753001115,12.853551548294543,1.33380011,0.36350004,0.25966248,0.6231625199999999,75.437,21.83,0.0697,0.6146302906601093,0.3005550561641174,504.1352483319514,52.85711034282969,0,True,0,True,0.7330842994483593,1.0,0.10102631328845191,0.6113702042456037,0.9377620596935695,0.19668626402993045,0.9712513965372447,0.5839688302835876,0.2,AM15G,PCF_sigma_0.20
D15,D15_PTZ_BTD_TT_CAA,PTZ,BTD,TT,CAA,5.01602639,3.37544076,4.81053553,3.50912976,4.86109646,3.59944054,4.159832645,-4.159832645,0.6507028850000001,0.7683998511855376,13.296550571162516,1.30140577,0.37032084,0.25269772,0.62301856,74.688,14.47,0.05022,0.5715069108060646,0.2997744046760524,503.025890634773,53.0722336085073,2,False,4,False,0.7284006225603561,0.906491885143571,0.1015036960688609,0.5787987345909293,0.9432950744849266,0.0,0.8777051480279325,0.43885257401396627,0.2,AM15G,PCF_sigma_0.20
D16,D16_PTZ_BTD_TT_RAA,PTZ,BTD,TT,RAA,5.00446101,3.32119105,4.80024282,3.44621948,4.80610225,3.56191604,4.1232311500000005,-4.1232311500000005,0.6770116700000002,0.738539706413037,12.555939483532333,1.3540233400000004,0.37124875,0.24034103,0.6115897800000001,75.203,21.35,0.05454,0.5720088908396997,0.3364937430351875,509.4455629190412,54.79399524597233,0,True,0,True,0.9487057382807432,0.9707865168539332,0.13940243719892864,0.6862982307778683,0.862619669368832,0.18385889898450028,0.8787940781890673,0.5313264885867838,0.2,AM15G,PCF_sigma_0.20
D01,D01_TPA_NONE_T_CAA,TPA,NONE,T,CAA,5.0901562,3.12777197,5.02117669,3.28423364,5.08148148,3.39244352,4.152705165,-4.152705165,0.8684715249999999,0.5757241148464828,9.928339439463882,1.7369430499999998,0.11174655,0.29789665,0.4096432,70.577,37.98,0.18657,0.2489111733662811,0.2653922223204901,475.5475999947124,41.644569588466055,4,False,4,False,0.11643586754144446,0.39325842696629154,0.8090733169885994,0.4395892038321118,1.0887028570277542,0.6282736504543024,0.17790793536218272,0.40309079290824257,0.2,CIEFL10,PCF_sigma_0.20
D02,D02_TPA_NONE_T_RAA,TPA,NONE,T,RAA,5.04126849,3.12996821,4.98357328,3.25670415,5.01696328,3.38204877,4.120138715,-4.120138715,0.8634345649999999,0.5790826777938871,9.830242915305256,1.72686913,0.12017637,0.25915117,0.37932754,69.983,51.89,0.19012,0.269464825092078,0.3130948259739941,484.3943785370754,45.01245935103763,2,False,3,False,0.2933932359806256,0.31910112359550563,0.9096024505030391,0.5073656033597235,0.9854380324515033,1.0,0.22249435272146376,0.6112471763607319,0.2,CIEFL10,PCF_sigma_0.20
D03,D03_TPA_NONE_TT_CAA,TPA,NONE,TT,CAA,5.05277728,3.18736328,4.99420286,3.32592257,5.04874618,3.45263511,4.160062715,-4.160062715,0.8341401449999999,0.5994196574725462,10.373629597178285,1.6682802899999998,0.11402333,0.27610795,0.3901312799999999,68.089,36.08,0.13624,0.252109328320968,0.3116972735863689,483.3532481182375,44.74168875472319,4,False,5,False,0.2882088817980656,0.08264669163545477,0.8737763915976654,0.41487732167706187,1.1679538037254054,0.577498663816141,0.18484559653751306,0.38117213017682705,0.2,CIEFL10,PCF_sigma_0.20
D04,D04_TPA_NONE_TT_RAA,TPA,NONE,TT,RAA,5.01761962,3.18246577,4.94952476,3.30351943,5.02431036,3.37524593,4.126522095,-4.126522095,0.823002665,0.6075314470579509,10.345157631125772,1.64600533,0.13825833,0.24401539,0.38227372,67.427,50.18,0.13417,0.1668983551300852,0.3578153521531776,492.7361637006055,47.33106107046184,2,False,3,False,0.45928830295361117,0.0,0.8998326839013037,0.45304032895163826,1.1412285619179017,0.9543025120256547,0.0,0.4771512560128274,0.2,CIEFL10,PCF_sigma_0.20
D05,D05_TPA_BTD_T_CAA,TPA,BTD,T,CAA,5.04680819,3.38230674,4.99307604,3.53598984,4.96349291,3.63821676,4.2645329400000005,-4.2645329400000005,0.7285431,0.686301194809202,12.48123906213994,1.4570862,0.1088118,0.28619385,0.39500565,74.294,15.55,0.06196,0.5009125244839033,0.3788772197997647,512.550116319288,50.08384794811016,2,False,2,False,0.5374193144226384,0.8573033707865166,0.8576125939917816,0.7507784264003122,0.5045962663831962,0.028861571352218066,0.7245668729528656,0.37671422215254186,0.2,CIEFL10,PCF_sigma_0.20
D06,D06_TPA_BTD_T_RAA,TPA,BTD,T,RAA,5.0340885,3.32617836,4.97840067,3.47259303,5.01108562,3.58295044,4.22549685,-4.22549685,0.75290382,0.6640954484730865,11.85730710554764,1.50580764,0.10890432,0.27493269,0.38383701,74.75,22.03,0.065,0.5090548317371103,0.4263560428499885,512.0713641891184,51.25269236419905,1,False,1,False,0.7135465473213818,0.9142322097378279,0.8946486902448308,0.8408091491013469,0.31703405631743553,0.20203099946552647,0.7422297347305292,0.47213036709802786,0.2,CIEFL10,PCF_sigma_0.20
D07,D07_TPA_BTD_TT_CAA,TPA,BTD,TT,CAA,5.03634786,3.37466741,4.98133297,3.50388204,4.99894934,3.61549526,4.2426075050000005,-4.2426075050000005,0.7387254650000001,0.6768414298537819,12.182955166898386,1.4774509300000005,0.10810485,0.25150777,0.35961262,73.75,14.52,0.046,0.3952570232230634,0.4522238818345766,517.8397983072686,51.88279237952657,1,False,1,False,0.8095057689012071,0.7893882646691636,0.9749786892161829,0.8579575742621844,0.28508142895377625,0.001336183858898956,0.49537157771453433,0.24835388078671664,0.2,CIEFL10,PCF_sigma_0.20
D08,D08_TPA_BTD_TT_RAA,TPA,BTD,TT,RAA,5.02517269,3.32108819,4.96767394,3.44502926,4.98621442,3.55758943,4.2063516,-4.2063516,0.76132234,0.656752040141105,11.620172463888656,1.52264468,0.11340182,0.23866535,0.35206717,74.758,21.66,0.05156,0.4121693902561036,0.5035756333018113,520.6992149112318,52.92899003096535,0,True,0,True,1.0,0.9152309612983767,1.0,0.9717436537661256,0.08476903870162333,0.19214323890967394,0.5320590659102234,0.36210115240994867,0.2,CIEFL10,PCF_sigma_0.20
D09,D09_PTZ_NONE_T_CAA,PTZ,NONE,T,CAA,5.06368877,3.13684561,4.86635098,3.28042295,4.89366849,3.40177703,4.073386965,-4.073386965,0.7929640149999999,0.6305456370551696,10.462316733648947,1.5859280299999998,0.35212813,0.28186044,0.63398857,70.744,36.98,0.2035,0.4188660044651044,0.2340044700648366,472.3322482811378,40.037021420341766,7,False,7,False,0.0,0.41410736579275864,0.06512627265321569,0.1597445461486581,1.4890463608973261,0.6015499732763228,0.5465858293291957,0.5740679013027592,0.2,CIEFL10,PCF_sigma_0.20
