system,ID,Donor,Aux,Bridge,Anchor,light_source,sigma_ev,PCF,PCC_nm,PCB_nm,B1_380_500_fraction,B2_500_600_fraction,B3_600_700_fraction,B4_700_780_fraction
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,AM15G,0.3,0.24164854384072873,495.17557987250717,59.91562922697122,0.5765950627882288,0.3681263949961108,0.05179234367839696,0.003486198537263551
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CIEFL10,0.3,0.3319202036428618,500.5592663775111,57.28488817208515,0.561388432859021,0.37597118934220003,0.062091439220609494,0.0005489385781694521
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB2,0.3,0.206556762196476,527.1842421132785,58.2178543431194,0.3474863530006972,0.5379010465953974,0.11319548917176257,0.0014171112321427108
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB3,0.3,0.2729227694718891,511.5977825828669,56.49195794441163,0.4458401015704199,0.48259829120677034,0.07085654454234253,0.0007050626804672298
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,LEDB4,0.3,0.30751394682727684,504.85341592520103,55.383275038317365,0.49639735926590817,0.45100901575903435,0.051991757434461015,0.0006018675405965003
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,AM15G,0.3,0.28570002652470683,503.10165858706455,62.98321565361229,0.5244679825427966,0.4002015337643026,0.06995780821246204,0.005372675480438778
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CIEFL10,0.3,0.39773299406951224,507.81583162821227,58.71921524763814,0.5058447079133259,0.4126000424072564,0.08073395157587218,0.0008212981035454961
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB2,0.3,0.26208397506631215,535.071282397293,59.05844410381383,0.29792370176391125,0.5589307812117482,0.1411287527758874,0.0020167642484531416
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB3,0.3,0.334206500192605,518.9606081103234,58.149799316700346,0.3943541887281879,0.5132609319340317,0.09134576549480056,0.001039113842979767
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,LEDB4,0.3,0.37115266619889986,511.9056057897578,57.270031602675346,0.4434575473168787,0.4877151808979104,0.06792583005699844,0.0009014417282125172
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,AM15G,0.3,0.28576720821813145,502.2049194313618,62.73480657658678,0.529787548763467,0.39717992022523146,0.06790877230206732,0.005123758709234217
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CIEFL10,0.3,0.39724545147477447,507.0820712192162,58.630329136551765,0.5110329962879793,0.4094425602127743,0.07873822548787003,0.0007862180113764979
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,LEDB2,0.3,0.26018017158110013,534.3323167385463,58.977555505442155,0.3021835348684901,0.5576740021709743,0.13820209900203534,0.0019403639585002924
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,LEDB3,0.3,0.33291089285313724,518.2611272460424,58.00356808422758,0.3989207298136042,0.5109116484522108,0.08917119236090428,0.0009964293732806463
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,LEDB4,0.3,0.3702219887525331,511.24075736641646,57.104762598275386,0.44814665416698934,0.48476328434863614,0.06622703954733827,0.0008630219370362092
D04_TPA_NONE_TT_RAA,D04,TPA,NONE,TT,RAA,AM15G,0.3,0.323611501100169,510.2228927027058,65.85544220132113,0.4810624444039626,0.4216537193151902,0.08949821117441643,0.007785625106430661
D04_TPA_NONE_TT_RAA,D04,TPA,NONE,TT,RAA,CIEFL10,0.3,0.45416518405575557,513.9790581530486,59.77789318986785,0.46083941863922395,0.43806836576302466,0.09992977024998745,0.0011624453477639845
D04_TPA_NONE_TT_RAA,D04,TPA,NONE,TT,RAA,LEDB2,0.3,0.3142817000224781,541.83400612479,59.60845682789379,0.25986569845635,0.5684703677740108,0.16892701847118996,0.0027369152984492245
D04_TPA_NONE_TT_RAA,D04,TPA,NONE,TT,RAA,LEDB3,0.3,0.3887211644030424,525.3677756820343,59.41438448049664,0.35347733526946656,0.5325754230927849,0.11249414926513339,0.0014530923726150478
D04_TPA_NONE_TT_RAA,D04,TPA,NONE,TT,RAA,LEDB4,0.3,0.4263610609109546,518.0233061513129,58.711751181515254,0.4011443155159735,0.512971090527797,0.08460623970488014,0.0012783542513494877
D05_TPA_BTD_T_CAA,D05,TPA,BTD,T,CAA,AM15G,0.3,0.31822344017224624,525.4612435612528,71.87964693858146,0.39928662363904294,0.44666770517591636,0.1373047082991174,0.016740962885923392
D05_TPA_BTD_T_CAA,D05,TPA,BTD,T,CAA,CIEFL10,0.3,0.4448202989487383,525.9546107117867,60.9776183369956,0.38049034567331047,0.4734289444891813,0.14368858792616823,0.0023921219113399676
D05_TPA_BTD_T_CAA,D05,TPA,BTD,T,CAA,LEDB2,0.3,0.33916404696208946,554.6100309012388,60.18565660642677,0.19739863279228625,0.5673816575312665,0.22999760239506525,0.005222107281382044
D05_TPA_BTD_T_CAA,D05,TPA,BTD,T,CAA,LEDB3,0.3,0.3956878358311331,537.9674720608166,61.08465801790769,0.281127121508852,0.5544471456991742,0.16149122287759962,0.0029345099143742175
D05_TPA_BTD_T_CAA,D05,TPA,BTD,T,CAA,LEDB4,0.3,0.42270362194055666,530.178059708618,60.7553934862532,0.3245433242614583,0.5484056619576853,0.12438729737352888,0.0026637164073275
D06_TPA_BTD_T_RAA,D06,TPA,BTD,T,RAA,AM15G,0.3,0.359161686455007,526.5588925837527,72.65442358174255,0.39578123433153684,0.44373045461843913,0.1428264149968583,0.01766189605316576
D06_TPA_BTD_T_RAA,D06,TPA,BTD,T,RAA,CIEFL10,0.3,0.5026378682767965,526.4683945389692,61.489784182636456,0.37814144269811434,0.4708205839697338,0.14851861928772894,0.002519354044422942
D06_TPA_BTD_T_RAA,D06,TPA,BTD,T,RAA,LEDB2,0.3,0.3853466893355982,555.6974658224769,60.479625070583296,0.1943198631647598,0.5629857807010299,0.2372229780172466,0.005471378116963729
D06_TPA_BTD_T_RAA,D06,TPA,BTD,T,RAA,LEDB3,0.3,0.44775974461509765,538.8161407616936,61.57898852302059,0.2788356231190823,0.5509110189903887,0.16716642177975946,0.0030869361107696285
D06_TPA_BTD_T_RAA,D06,TPA,BTD,T,RAA,LEDB4,0.3,0.4777888773666353,530.8641302475596,61.26226972821912,0.32282937826427904,0.545489505596633,0.12887570806751272,0.002805408071575388
D07_TPA_BTD_TT_CAA,D07,TPA,BTD,TT,CAA,AM15G,0.3,0.37700245134262456,531.9076439417017,74.59213997795568,0.37063191416968017,0.4460774689844368,0.16127049344403,0.02202012340185302
D07_TPA_BTD_TT_CAA,D07,TPA,BTD,TT,CAA,CIEFL10,0.3,0.5251951616029628,530.1864591931052,61.7986169981916,0.35495344432292575,0.477301310637454,0.16463391987267645,0.003111325166943881
D07_TPA_BTD_TT_CAA,D07,TPA,BTD,TT,CAA,LEDB2,0.3,0.41510934081812884,559.7191064337832,60.54363946792272,0.17734187988439695,0.5573314502607494,0.2587310050406767,0.006595664814176895
D07_TPA_BTD_TT_CAA,D07,TPA,BTD,TT,CAA,LEDB3,0.3,0.4736974271707422,542.8440369276361,62.00276065552979,0.2583975339789358,0.5524976582756627,0.18531748217173752,0.0037873255736639764
D07_TPA_BTD_TT_CAA,D07,TPA,BTD,TT,CAA,LEDB4,0.3,0.5012012394226414,534.7578537988683,61.82751247880806,0.30094534629212233,0.551604356012774,0.1439740294842284,0.003476268210875165
D08_TPA_BTD_TT_RAA,D08,TPA,BTD,TT,RAA,AM15G,0.3,0.41851687200605175,536.3077100195086,76.01393738374858,0.3527660446487538,0.4439859300825305,0.17730852424516325,0.02593950102355247
D08_TPA_BTD_TT_RAA,D08,TPA,BTD,TT,RAA,CIEFL10,0.3,0.5815563739773348,532.7708399144208,62.2117623043958,0.34075234968347445,0.4774530245558875,0.178151768589626,0.0036428571710119756
D08_TPA_BTD_TT_RAA,D08,TPA,BTD,TT,RAA,LEDB2,0.3,0.4702474880789593,562.7342868210936,60.7932934132038,0.16689955845630444,0.5486746922968466,0.27684764094419617,0.007578108302652652
D08_TPA_BTD_TT_RAA,D08,TPA,BTD,TT,RAA,LEDB3,0.3,0.5297048844403681,545.7153785017034,62.581958548514486,0.24647218564174503,0.5485269524345904,0.2005939329350169,0.004406928988647697
D08_TPA_BTD_TT_RAA,D08,TPA,BTD,TT,RAA,LEDB4,0.3,0.5573093170729174,537.4208681744561,62.5165114525145,0.2887643992381497,0.5505380685546198,0.1566260511492579,0.004071481057972597
D09_PTZ_NONE_T_CAA,D09,PTZ,NONE,T,CAA,AM15G,0.3,0.21021178800572168,491.47227048781326,58.83069812967634,0.601836940826267,0.3500770804539124,0.04516623495269145,0.002919743767129003
D09_PTZ_NONE_T_CAA,D09,PTZ,NONE,T,CAA,CIEFL10,0.3,0.28602818132665914,497.19639972998283,56.607644822648076,0.5879925724745255,0.35646416646821943,0.05507700292812788,0.0004662581291271409
D09_PTZ_NONE_T_CAA,D09,PTZ,NONE,T,CAA,LEDB2,0.3,0.17339286305843457,523.6465562984341,57.827496536575005,0.372096593828077,0.5240767184752397,0.10259358696091782,0.0012331007357653974
