wavelength_nm,intensity
200,0
200.0600060006,0
200.1200120012,0
200.1800180018,0
200.2400240024,0
200.300030003,0
200.3600360036,0
200.4200420042,0
200.4800480048,0
200.540054005401,0
200.600060006001,0
200.660066006601,0
200.720072007201,0
200.780078007801,0
200.840084008401,0
200.900090009001,0
200.960096009601,0
201.020102010201,0
201.080108010801,0
201.140114011401,0
201.200120012001,0
201.260126012601,0
201.320132013201,0
201.380138013801,0
201.440144014401,0
201.500150015002,0
201.560156015602,0
201.620162016202,0
201.680168016802,0
201.740174017402,0
201.800180018002,0
201.860186018602,0
201.920192019202,0
201.980198019802,0
202.040204020402,0
202.100210021002,0
202.160216021602,0
202.220222022202,0
202.280228022802,0
202.340234023402,0
202.400240024002,0
202.460246024602,0
202.520252025203,0
202.580258025803,0
202.640264026403,0
202.700270027003,0
202.760276027603,0
202.820282028203,0
202.880288028803,0
202.940294029403,0
203.000300030003,0
203.060306030603,0
203.120312031203,0
203.180318031803,0
203.240324032403,0
203.300330033003,0
203.360336033603,0
203.420342034203,0
203.480348034803,0
203.540354035404,0
203.600360036004,0
203.660366036604,0
203.720372037204,0
203.780378037804,0
203.840384038404,0
203.900390039004,0
203.960396039604,0
204.020402040204,0
204.080408040804,0
204.140414041404,0
204.200420042004,0
204.260426042604,0
204.320432043204,0
204.380438043804,0
204.440444044404,0
204.500450045004,0
204.560456045605,0
204.620462046205,0
204.680468046805,0
204.740474047405,0
204.800480048005,0
204.860486048605,0
204.920492049205,0
204.980498049805,0
205.040504050405,0
205.100510051005,0
205.160516051605,0
205.220522052205,0
205.280528052805,0
205.340534053405,0
205.400540054005,0
205.460546054605,0
205.520552055206,0
205.580558055806,0
205.640564056406,0
205.700570057006,0
205.760576057606,0
205.820582058206,0
205.880588058806,0
205.940594059406,0
206.000600060006,0
206.060606060606,0
206.120612061206,0
206.180618061806,0
206.240624062406,0
206.300630063006,0
206.360636063606,0
206.420642064206,0
206.480648064806,0
206.540654065407,0
206.600660066007,0
206.660666066607,0
206.720672067207,0
206.780678067807,0
206.840684068407,0
206.900690069007,0
206.960696069607,0
207.020702070207,0
207.080708070807,0
207.140714071407,0
207.200720072007,0
207.260726072607,0
207.320732073207,0
207.380738073807,0
207.440744074407,0
207.500750075007,0
207.560756075608,0
207.620762076208,0
207.680768076808,0
207.740774077408,0
207.800780078008,0
207.860786078608,0
207.920792079208,0
207.980798079808,0
208.040804080408,0
208.100810081008,0
208.160816081608,0
208.220822082208,0
208.280828082808,0
208.340834083408,0
208.400840084008,0
208.460846084608,0
208.520852085209,0
208.580858085809,0
208.640864086409,0
208.700870087009,0
208.760876087609,0
208.820882088209,0
208.880888088809,0
208.940894089409,0
209.000900090009,0
209.060906090609,0
209.120912091209,0
209.180918091809,0
209.240924092409,0
209.300930093009,0
209.360936093609,0
209.420942094209,0
209.480948094809,0
209.54095409541,0
209.60096009601,0
209.66096609661,0
209.72097209721,0
209.78097809781,0
209.84098409841,0
209.90099009901,0
209.96099609961,0
210.02100210021,0
210.08100810081,0
210.14101410141,0
210.20102010201,0
210.26102610261,0
210.32103210321,0
210.38103810381,0
210.44104410441,0
210.501050105011,0
210.561056105611,0
210.621062106211,0
210.681068106811,0
210.741074107411,0
210.801080108011,0
210.861086108611,0
210.921092109211,0
210.981098109811,0
211.041104110411,0
211.101110111011,0
211.161116111611,0
211.221122112211,0
211.281128112811,0
211.341134113411,0
211.401140114011,0
211.461146114611,0
211.521152115212,0
211.581158115812,0
211.641164116412,0
211.701170117012,0
211.761176117612,0
211.821182118212,0
211.881188118812,0
211.941194119412,0
212.001200120012,0
212.061206120612,0
212.121212121212,0
212.181218121812,0
212.241224122412,0
212.301230123012,0
212.361236123612,0
