system,functional,state,reason,fragment_count,fragment_order,matrix_sum,diagonal_sum,off_diagonal_sum,diagonal_fraction,off_diagonal_fraction,pairwise_asymmetry_fraction,maximum_element,reported_including_H_sum,reported_including_H_maximum,absolute_sum_difference,status,raw_tmat,normalized_matrix_csv,long_csv,transcript
D08_TPA_BTD_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,110.44555000000001,64.923275,45.52227500000001,0.5878306097438964,0.4121693902561036,0.022862478388672065,58.35832,110.44554863,1.28482619,1.370000006772898e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S1/D08_TPA_BTD_TT_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S1/D08_TPA_BTD_TT_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S1/D08_TPA_BTD_TT_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S1/D08_TPA_BTD_TT_RAA_S1_fragment_TDM_Multiwfn.out
D08_TPA_BTD_TT_RAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,149.69306799999998,70.16886,79.52420799999999,0.4687515657037639,0.531248434296236,0.15041572933758027,60.528383,149.69306919,1.96757577,1.1900000060904858e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S2/D08_TPA_BTD_TT_RAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S2/D08_TPA_BTD_TT_RAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S2/D08_TPA_BTD_TT_RAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D08_TPA_BTD_TT_RAA_S2/D08_TPA_BTD_TT_RAA_S2_fragment_TDM_Multiwfn.out
D09_PTZ_NONE_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,115.933684,67.37300499999999,48.56067900000001,0.5811339955348955,0.41886600446510447,0.16711276940013395,62.760115,115.93368409,3.71062103,9.000000034120603e-08,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D09_PTZ_NONE_T_CAA_S1/D09_PTZ_NONE_T_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D09_PTZ_NONE_T_CAA_S1/D09_PTZ_NONE_T_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D09_PTZ_NONE_T_CAA_S1/D09_PTZ_NONE_T_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D09_PTZ_NONE_T_CAA_S1/D09_PTZ_NONE_T_CAA_S1_fragment_TDM_Multiwfn.out
D10_PTZ_NONE_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,114.561026,52.928162,61.632864,0.46200844954024767,0.5379915504597523,0.05313070432871297,39.429396,114.56102598,1.56985099,2.000000165480742e-08,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D10_PTZ_NONE_T_RAA_S1/D10_PTZ_NONE_T_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D10_PTZ_NONE_T_RAA_S1/D10_PTZ_NONE_T_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D10_PTZ_NONE_T_RAA_S1/D10_PTZ_NONE_T_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D10_PTZ_NONE_T_RAA_S1/D10_PTZ_NONE_T_RAA_S1_fragment_TDM_Multiwfn.out
D11_PTZ_NONE_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,107.863328,67.750875,40.112453,0.6281177880956909,0.37188221190430915,0.03505025359499385,59.67586,107.86332848,1.81775351,4.800000112936686e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D11_PTZ_NONE_TT_CAA_S1/D11_PTZ_NONE_TT_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D11_PTZ_NONE_TT_CAA_S1/D11_PTZ_NONE_TT_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D11_PTZ_NONE_TT_CAA_S1/D11_PTZ_NONE_TT_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D11_PTZ_NONE_TT_CAA_S1/D11_PTZ_NONE_TT_CAA_S1_fragment_TDM_Multiwfn.out
D12_PTZ_NONE_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,3,Donor|Bridge|Anchor,106.8709,71.048539,35.822361,0.6648071551750757,0.3351928448249243,0.07375119887640133,66.483379,106.8708986,2.73750921,1.4000000021496817e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D12_PTZ_NONE_TT_RAA_S1/D12_PTZ_NONE_TT_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D12_PTZ_NONE_TT_RAA_S1/D12_PTZ_NONE_TT_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D12_PTZ_NONE_TT_RAA_S1/D12_PTZ_NONE_TT_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D12_PTZ_NONE_TT_RAA_S1/D12_PTZ_NONE_TT_RAA_S1_fragment_TDM_Multiwfn.out
D13_PTZ_BTD_T_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,149.581726,55.66191,93.919816,0.3721170459017166,0.6278829540982833,0.15539292547005376,33.566554,149.58172892,1.58042775,2.9199999858064984e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S1/D13_PTZ_BTD_T_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S1/D13_PTZ_BTD_T_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S1/D13_PTZ_BTD_T_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S1/D13_PTZ_BTD_T_CAA_S1_fragment_TDM_Multiwfn.out
D13_PTZ_BTD_T_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,99.46324800000001,36.795021,62.66822700000001,0.3699358480631961,0.6300641519368039,0.23683677613262738,22.072973,99.4632492,1.18788489,1.1999999998124622e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S2/D13_PTZ_BTD_T_CAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S2/D13_PTZ_BTD_T_CAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S2/D13_PTZ_BTD_T_CAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D13_PTZ_BTD_T_CAA_S2/D13_PTZ_BTD_T_CAA_S2_fragment_TDM_Multiwfn.out
D14_PTZ_BTD_T_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,120.446903,46.416588,74.030315,0.38536970933989056,0.6146302906601093,0.17702690952543632,33.619637,120.44690224,2.13221405,7.600000060392631e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S1/D14_PTZ_BTD_T_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S1/D14_PTZ_BTD_T_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S1/D14_PTZ_BTD_T_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S1/D14_PTZ_BTD_T_RAA_S1_fragment_TDM_Multiwfn.out
D14_PTZ_BTD_T_RAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,126.353023,53.594218999999995,72.758804,0.4241625386358979,0.5758374613641021,0.09194895162896102,39.260633,126.35302178,1.30524061,1.219999987256415e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S2/D14_PTZ_BTD_T_RAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S2/D14_PTZ_BTD_T_RAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S2/D14_PTZ_BTD_T_RAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D14_PTZ_BTD_T_RAA_S2/D14_PTZ_BTD_T_RAA_S2_fragment_TDM_Multiwfn.out
D15_PTZ_BTD_TT_CAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,83.112736,35.613233,47.499503,0.42849308919393536,0.5715069108060646,0.14479442717419386,26.189659,83.11273679,1.05340868,7.900000014160469e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S1/D15_PTZ_BTD_TT_CAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S1/D15_PTZ_BTD_TT_CAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S1/D15_PTZ_BTD_TT_CAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S1/D15_PTZ_BTD_TT_CAA_S1_fragment_TDM_Multiwfn.out
D15_PTZ_BTD_TT_CAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,92.90138900000001,38.320786,54.58060300000001,0.41248883803018266,0.5875111619698173,0.1354765642955026,26.343416,92.90138801,1.03038415,9.900000037532664e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S2/D15_PTZ_BTD_TT_CAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S2/D15_PTZ_BTD_TT_CAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S2/D15_PTZ_BTD_TT_CAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D15_PTZ_BTD_TT_CAA_S2/D15_PTZ_BTD_TT_CAA_S2_fragment_TDM_Multiwfn.out
D16_PTZ_BTD_TT_RAA,CAMB3LYP,1,S1|brightest|visible_brightest|visible_f_target_set,4,Donor|Aux|Bridge|Anchor,121.04368500000001,51.805621,69.23806400000001,0.42799110916030025,0.5720088908396997,0.09869314537144172,37.227552,121.04368379,1.56901958,1.2100000077452933e-06,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S1/D16_PTZ_BTD_TT_RAA_S1_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S1/D16_PTZ_BTD_TT_RAA_S1_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S1/D16_PTZ_BTD_TT_RAA_S1_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S1/D16_PTZ_BTD_TT_RAA_S1_fragment_TDM_Multiwfn.out
D16_PTZ_BTD_TT_RAA,CAMB3LYP,2,visible_f_target_set,4,Donor|Aux|Bridge|Anchor,143.151723,58.236385,84.915338,0.4068158159717016,0.5931841840282984,0.06657256930117424,41.124831,143.15172225,1.57797639,7.49999998106432e-07,OK,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S2/D16_PTZ_BTD_TT_RAA_S2_fragment_TDM_raw.txt,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S2/D16_PTZ_BTD_TT_RAA_S2_fragment_TDM_normalized_matrix.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S2/D16_PTZ_BTD_TT_RAA_S2_fragment_TDM_long.csv,/arf/scratch/gkurtay/tiy2/03_gaussian_preopt/05_fragment_tdm_batch24/D16_PTZ_BTD_TT_RAA_S2/D16_PTZ_BTD_TT_RAA_S2_fragment_TDM_Multiwfn.out
