system,ID,Donor,Aux,Bridge,Anchor,functional,state,symmetry,energy_eV,wavelength_nm,oscillator_strength,normal_termination,log_file,checkpoint_file,formatted_checkpoint_file
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,15,Singlet-?Sym,5.4926,225.73,0.0108,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,16,Singlet-?Sym,5.547,223.52,0.0035,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,17,Singlet-?Sym,5.5947,221.61,0.0511,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,18,Singlet-?Sym,5.6615,219.0,0.002,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,19,Singlet-?Sym,5.7577,215.34,0.0232,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,20,Singlet-?Sym,5.7732,214.76,0.0125,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,21,Singlet-?Sym,5.8583,211.64,0.008,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,22,Singlet-?Sym,5.8764,210.99,0.009,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,23,Singlet-?Sym,5.8905,210.48,0.0139,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,24,Singlet-?Sym,5.9231,209.32,0.0092,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,25,Singlet-?Sym,5.9575,208.12,0.0834,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,26,Singlet-?Sym,5.9913,206.94,0.0353,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,27,Singlet-?Sym,6.0521,204.86,0.0261,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,28,Singlet-?Sym,6.06,204.6,0.0226,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,29,Singlet-?Sym,6.1109,202.89,0.0186,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D01_TPA_NONE_T_CAA,D01,TPA,NONE,T,CAA,CAMB3LYP,30,Singlet-?Sym,6.1743,200.81,0.0193,True,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.log,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.chk,04A_D01_TPA_NONE_T_CAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,1,Singlet-?Sym,2.6725,463.93,1.6795,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,2,Singlet-?Sym,3.325,372.88,0.0002,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,3,Singlet-?Sym,3.6309,341.47,0.012,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,4,Singlet-?Sym,4.0711,304.54,0.1356,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,5,Singlet-?Sym,4.116,301.23,0.1151,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,6,Singlet-?Sym,4.3478,285.17,0.2422,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,7,Singlet-?Sym,4.4376,279.39,0.0879,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,8,Singlet-?Sym,4.5735,271.09,0.0182,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,9,Singlet-?Sym,4.6648,265.78,0.0146,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,10,Singlet-?Sym,4.6954,264.05,0.0416,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,11,Singlet-?Sym,4.7555,260.72,0.1446,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,12,Singlet-?Sym,4.786,259.05,0.0442,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,13,Singlet-?Sym,4.8937,253.36,0.0293,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,14,Singlet-?Sym,5.075,244.31,0.0668,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,15,Singlet-?Sym,5.11,242.63,0.01,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,16,Singlet-?Sym,5.1321,241.59,0.0026,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,17,Singlet-?Sym,5.1526,240.63,0.0179,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,18,Singlet-?Sym,5.2529,236.03,0.0014,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,19,Singlet-?Sym,5.3114,233.43,0.0153,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,20,Singlet-?Sym,5.3175,233.16,0.0019,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,21,Singlet-?Sym,5.4656,226.84,0.003,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,22,Singlet-?Sym,5.4761,226.41,0.0051,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,23,Singlet-?Sym,5.5844,222.02,0.0183,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,24,Singlet-?Sym,5.6573,219.16,0.0397,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,25,Singlet-?Sym,5.7178,216.84,0.0054,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,26,Singlet-?Sym,5.7315,216.32,0.0092,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,27,Singlet-?Sym,5.7368,216.12,0.0075,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,28,Singlet-?Sym,5.791,214.1,0.0296,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,29,Singlet-?Sym,5.8396,212.32,0.0245,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D02_TPA_NONE_T_RAA,D02,TPA,NONE,T,RAA,CAMB3LYP,30,Singlet-?Sym,5.8951,210.32,0.0086,True,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.log,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.chk,04A_D02_TPA_NONE_T_RAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,1,Singlet-?Sym,2.6783,462.93,1.7043,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
